"X","Y","crater_id","cfield_id"
38.5190965663,47.7610783192,743,9
38.5181582086,47.7612224987,744,9
38.5175094013,47.7613955136,745,9
38.5192681517,47.7615000432,746,9
38.5193271342,47.7615721324,747,9
38.5163190275,47.7615036476,748,71
38.5167533531,47.7615829458,749,71
38.5168391458,47.7614531851,750,9
38.517477229,47.7619217637,751,9
38.5178311239,47.7625273052,752,9
38.5179812612,47.7625705578,753,9
38.5171823166,47.7628769301,754,71
38.5169088524,47.7626138105,755,71
38.5198418904,47.7624588217,756,9
38.5185978962,47.7631112135,757,9
38.5183351561,47.7631688831,758,9
38.5226194292,47.7616370126,759,9
38.5238044409,47.7617811906,760,9
38.5226730496,47.7624840524,761,9
38.5212196136,47.7633638842,762,9
38.5212035239,47.7636955554,763,9
38.5214234165,47.7637280013,764,9
38.5205009405,47.7637532371,765,9
38.5203239538,47.7636631094,766,9
38.5206672007,47.7642110836,767,9
38.5197769041,47.7642110836,768,9
38.5202488686,47.7644922786,769,9
38.5196428233,47.764668926,770,9
38.5191869486,47.7649032533,771,9
38.5187257106,47.764665321,772,20000
38.5183985534,47.7637712626,773,9
38.5183341946,47.7637063707,774,9
38.5230806553,47.7632268889,775,9
38.5237725122,47.7633494636,776,9
38.5253707555,47.7610745741,777,9
38.5257461817,47.7610889953,778,9
